,city,lat,lon,countries,humidity,cloudiness,max_temp,wind_speed
98,Qaanaaq,77.48,-69.36,GL,55,100,13.26,8.5
99,Severo-Kurilsk,50.68,156.12,RU,75,61,37.42,18.28
100,Mar del Plata,-46.43,-67.52,AR,38,34,60.03,38.36
101,Islamkot,24.7,70.18,PK,68,17,81.37,9.37
102,Hermanus,-34.42,19.24,ZA,85,100,63.0,4.0
103,Karratha,-20.74,116.85,AU,44,1,77.45,29.12
104,Mataram,-5.32,105.06,ID,87,90,73.42,5.55
105,Kodiak,39.95,-94.76,US,32,1,51.8,11.41
106,Port Lincoln,-34.72,135.86,AU,47,24,62.4,12.91
107,Ust-Barguzin,53.41,109.03,RU,80,17,28.47,6.46
108,Alugan,12.22,125.48,PH,72,37,83.03,3.71
109,Labytnangi,66.66,66.39,RU,85,74,5.76,7.25
110,Kayattar,8.95,77.8,IN,89,93,76.21,5.75
111,Esperance,-33.86,121.89,AU,87,93,53.6,10.29
112,Miles City,46.41,-105.84,US,43,90,51.8,13.87
113,Mayya,61.74,130.28,RU,84,82,3.2,4.47
114,Sabang,13.8,121.11,PH,95,84,78.01,3.0
115,Thompson,55.74,-97.86,CA,92,75,26.6,8.05
116,Beloha,-25.17,45.06,MG,74,73,65.7,12.01
117,Cabo San Lucas,22.89,-109.91,MX,51,5,84.99,10.29
118,Oranjestad,12.52,-70.03,AW,74,20,84.2,13.87
119,Ancud,-41.87,-73.83,CL,66,75,53.6,9.17
120,Fort Wellington,6.4,-57.6,GY,77,0,82.92,15.21
121,Tuatapere,-46.13,167.69,NZ,28,0,74.73,5.68
122,Chokurdakh,70.62,147.9,RU,96,100,3.76,8.46
123,Ducheng,30.54,114.9,CN,47,0,62.73,1.72
124,Lebu,8.96,38.73,ET,50,0,48.63,5.3
125,Clyde River,70.47,-68.59,CA,67,20,17.6,8.05
126,Nantucket,41.28,-70.1,US,70,75,48.0,7.94
127,East London,-33.02,27.91,ZA,64,8,64.98,13.33
128,Nome,30.04,-94.42,US,39,1,66.2,8.05
129,Muisne,0.61,-80.02,EC,83,20,80.6,9.17
130,Valdemarpils,57.37,22.59,LV,100,90,42.8,9.17
131,Garmsar,35.22,52.34,IR,49,0,61.92,10.09
132,Fallon,46.84,-105.12,US,42,40,48.2,14.99
133,Hobart,-42.88,147.33,AU,71,75,68.0,6.93
134,Torbay,47.66,-52.73,CA,86,5,43.0,6.93
135,Luba,17.32,120.7,PH,76,90,79.21,2.71
136,Dingle,11.0,122.67,PH,86,100,78.13,2.06
137,Dzaoudzi,-12.79,45.27,YT,83,75,80.6,9.17
138,Portel,-1.94,-50.82,BR,55,100,82.58,1.45
139,Muros,42.77,-9.06,ES,93,90,62.01,17.22
140,Cayambe,0.04,-78.14,EC,77,75,62.6,11.41
141,Husavik,50.56,-96.99,CA,79,57,34.0,5.37
142,Shentala,54.44,51.46,RU,91,73,25.65,7.52
143,Hualmay,-11.1,-77.61,PE,80,74,62.87,5.93
144,Bernalillo,35.3,-106.55,US,17,20,57.99,4.7
145,Homer,59.64,-151.54,US,87,40,42.8,3.36
146,Arraial do Cabo,-22.97,-42.02,BR,87,0,73.31,24.9
147,Anloga,5.79,0.9,GH,75,68,79.93,2.86
148,Rawson,-43.3,-65.11,AR,44,0,59.9,8.66
149,Samarai,-10.62,150.67,PG,76,100,80.89,8.48
150,Avera,33.19,-82.53,US,44,1,64.4,4.7
151,Saint-Georges,46.12,-70.67,CA,73,69,36.0,4.14
152,Palatka,60.1,150.94,RU,84,100,31.1,15.52
153,Vardo,39.62,-77.74,US,43,1,50.0,4.7
154,Kathu,-27.7,23.05,ZA,25,100,66.0,3.85
155,Santa Barbara,34.42,-119.7,US,28,1,79.0,10.29
156,Del Monte,14.64,121.01,PH,88,40,79.0,3.36
157,Burgeo,47.61,-57.61,CA,63,0,40.26,5.79
158,Adrar,27.87,-0.29,DZ,37,0,71.6,8.05
159,Zhanaozen,43.35,52.85,KZ,82,100,38.28,27.45
160,Mitsamiouli,-11.38,43.28,KM,79,41,79.03,5.77
161,Voznesenskoye,54.89,42.76,RU,95,94,31.64,8.32
162,Beringovskiy,63.05,179.32,RU,89,100,29.08,7.52
163,Tabas,33.6,56.92,IR,33,0,62.6,4.7
164,Jumla,29.28,82.18,NP,86,44,37.06,3.62
165,Balkanabat,39.51,54.36,TM,70,59,50.54,19.06
166,Yerbogachen,61.28,108.01,RU,78,97,19.67,11.5
167,Hamilton,43.26,-79.87,CA,80,75,44.01,4.7
168,Arnhem,51.98,5.91,NL,76,75,54.0,16.11
169,Anqing,30.51,117.04,CN,46,62,65.91,5.37
170,Henniker,43.18,-71.82,US,74,20,45.0,6.93
171,Juruti,-2.16,-56.09,BR,57,13,86.05,3.69
172,Geraldton,49.72,-86.95,CA,80,75,30.2,8.05
173,Shepsi,44.04,39.15,RU,62,0,55.18,20.45
174,Honningsvag,70.98,25.97,NO,61,74,30.52,11.07
175,Namibe,-15.19,12.15,AO,75,41,71.87,7.74
176,Jinchang,38.52,102.19,CN,37,1,35.73,1.36
177,Xinmin,42.0,122.83,CN,38,76,32.0,8.95
178,Kedougou,12.56,-12.19,SN,75,100,75.92,3.6
179,Malanje,-9.54,16.35,AO,95,100,64.2,3.24
180,Chihuahua,28.66,-106.08,MX,42,75,66.2,10.29
181,Bathsheba,13.22,-59.52,BB,83,40,80.6,9.17
182,Santa Maria,-16.02,-48.01,BR,69,75,77.0,4.7
183,Karaton,-6.34,106.1,ID,83,20,77.0,8.05
184,Ribeira Grande,38.52,-28.7,PT,81,100,61.83,8.97
185,Severodvinsk,64.56,39.82,RU,85,90,21.2,8.95
186,Tura,64.27,100.22,RU,81,100,11.98,16.89
187,Sistranda,63.73,8.83,NO,86,40,35.01,5.82
188,Gairatganj,23.42,78.24,IN,73,100,73.11,3.18
189,Fort Myers Beach,26.45,-81.95,US,70,1,84.2,12.75
190,Wenling,28.38,121.38,CN,64,97,73.0,6.76
191,Airai,-8.93,125.41,TL,37,0,79.88,3.6
192,Broken Hill,-31.97,141.45,AU,88,40,62.6,3.36
193,Kindu,-2.95,25.92,CD,98,78,69.06,1.48
194,Serov,59.61,60.57,RU,85,100,23.32,6.93
195,Te Anau,-45.41,167.72,NZ,61,0,59.85,9.08
196,Azare,11.67,10.19,NG,38,92,81.14,0.45
197,Portland,43.66,-70.25,US,70,90,46.0,4.52
198,Kudahuvadhoo,2.67,72.89,MV,70,34,82.31,2.93
199,Campbell River,50.02,-125.24,CA,76,75,53.6,2.13
200,Naifaru,5.44,73.37,MV,66,5,82.51,2.82
201,Kalya,12.98,77.18,IN,100,40,69.8,2.24
202,Lampang,18.29,99.49,TH,92,0,75.99,2.66
203,Baihar,22.11,80.55,IN,85,87,66.54,1.92
204,La Ronge,55.1,-105.3,CA,69,75,33.8,3.36
205,Tieling,42.29,123.84,CN,39,53,31.06,13.51
206,Nishihara,35.74,139.53,JP,87,40,62.01,6.69
207,Selikhino,50.37,137.51,RU,84,100,28.53,8.77
208,Souillac,45.6,-0.6,FR,93,100,55.99,12.75
209,Dalvik,57.79,14.13,SE,100,100,42.01,8.05
210,Victoria,5.28,115.24,BN,94,75,77.0,9.55
211,Coldstream,55.65,-2.25,GB,94,80,46.0,10.4
212,Lata,30.78,78.62,IN,66,52,24.84,3.22
213,Aklavik,68.22,-135.01,CA,73,20,26.6,5.82
214,Ouahigouya,13.58,-2.42,BF,22,0,83.46,5.57
215,Mahebourg,-20.41,57.7,MU,94,75,73.0,9.17
216,Kahului,20.89,-156.47,US,58,40,84.2,11.41
217,Makat,47.65,53.35,KZ,95,100,30.85,15.5
218,Port Blair,11.67,92.75,IN,73,0,82.33,6.44
219,Ostrovnoy,68.05,39.51,RU,85,100,23.05,25.19
220,Skibbereen,51.55,-9.27,IE,93,75,46.4,16.11
221,Kalmunai,7.42,81.82,LK,82,9,80.04,8.61
222,Bambous Virieux,-20.34,57.76,MU,94,75,73.0,9.17
223,Sri Aman,1.24,111.46,MY,94,100,75.2,1.16
224,Magaria,13.0,8.91,NE,25,100,80.56,4.59
225,Sarmanovo,55.25,52.59,RU,86,75,28.4,15.66
226,Carnot,4.94,15.87,CF,94,90,68.04,0.54
227,Arrifes,37.77,-25.7,PT,77,40,64.4,4.7
228,Zheleznodorozhnyy,55.75,38.0,RU,88,91,37.0,6.71
229,Aripuana,-9.17,-60.63,BR,98,100,72.39,0.89
230,Batagay-Alyta,67.8,130.41,RU,91,95,-6.47,5.7
231,Tanda,31.67,75.63,IN,47,95,70.12,2.84
232,Ahuimanu,21.44,-157.84,US,58,40,84.99,10.29
233,Codrington,-28.95,153.24,AU,64,0,75.2,5.82
234,Urucara,-2.54,-57.76,BR,47,36,82.11,1.99
235,Kumano,34.34,132.59,JP,71,75,63.0,2.24
236,Sioux Lookout,50.1,-91.92,CA,73,90,26.6,8.05
237,San Jeronimo,-13.65,-73.37,PE,93,51,51.6,6.02
238,Sobolevo,54.43,31.9,RU,76,100,40.53,20.4
239,High Level,58.52,-117.13,CA,74,75,33.8,4.7
240,Sitka,37.17,-99.65,US,27,0,57.0,15.99
241,Kushima,31.5,131.29,JP,87,75,60.8,8.05
242,Riyadh,24.63,46.72,SA,47,0,75.2,5.82
243,Areosa,41.72,-8.86,PT,88,75,64.99,8.05
244,La Rioja,-29.41,-66.86,AR,52,42,63.7,4.92
245,Cayenne,4.94,-52.33,GF,88,42,78.8,3.36
246,Appleton,44.26,-88.41,US,64,90,36.0,12.75
247,Tecoanapa,16.99,-99.26,MX,74,40,86.0,6.93
248,Sangmelima,2.93,11.98,CM,98,100,66.61,1.52
249,Caravelas,-17.73,-39.27,BR,93,1,69.67,5.23
250,Holme,56.11,10.17,DK,100,86,46.4,2.24
251,Pacific Grove,36.62,-121.92,US,8,1,84.2,4.7
252,Fukue,35.03,136.69,JP,77,75,60.8,12.75
253,Saint-Pierre,48.95,4.24,FR,100,100,51.8,19.46
254,Laguna,16.17,-88.94,BZ,78,75,82.4,4.7
255,Comodoro Rivadavia,-45.87,-67.48,AR,19,14,69.8,28.86
256,Timra,62.49,17.33,SE,86,0,33.01,5.82
257,Fortuna,40.6,-124.16,US,42,1,68.0,13.87
258,Naze,5.43,7.07,NG,88,75,77.0,2.68
259,Belmonte,40.36,-7.35,PT,87,100,57.99,13.98
260,Isangel,-19.55,169.27,VU,61,75,80.6,11.41
